"Answer variable","Alocation influence","Optimization influence","Combined influence"
"L1-dcache-loads",0.749425232372584,0.0998220284573909,0.150752739170025
"L1-dcache-loads-misses",0.91234674236662,0.086274548555977,0.00137870907740274
"branch-instructions",6.87729099568712e-09,0.999999993013192,1.09516549136072e-10
"branch-misses",0.00546033775752893,0.990755120362726,0.00378454187974538
